OSIS,01PASS,01FAIL,01LINES,02PASS,02FAIL,02LINES,04PASS,04FAIL,04LINES,05PASS,05FAIL,05LINES,06PASS,06FAIL,06LINES,07PASS,07FAIL,07LINES,08PASS,08FAIL,08LINES,TOTAL_PASSED,TOTAL_FAILED,
208974055,10,0,14,6,2,10,7,0,8,0,0,1,3,0,4,19,3,23,15,0,16,60,5, ENDSTUDENT
214269698,10,0,11,8,0,9,7,0,8,0,0,1,3,0,4,22,0,23,15,0,16,65,0, ENDSTUDENT
